step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
60,TRANSFER,581421.85,C1021314422,581421.85,0.0,C2062695733,0.0,0.0,1
458,CASH_OUT,167806.93,C964445001,167806.93,0.0,C1195194203,0.0,167806.93,1
437,CASH_OUT,4716.08,C1530035087,4716.08,0.0,C2051847630,551191.68,555907.76,1
642,TRANSFER,330665.02,C858235429,330665.02,0.0,C1542396636,0.0,0.0,1
6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1
10,CASH_OUT,9217.19,C1105700111,9217.19,0.0,C1767952032,0.0,9217.19,1
658,TRANSFER,24522.52,C465687817,24522.52,0.0,C765570809,0.0,0.0,1
383,TRANSFER,150406.91,C1145944802,150406.91,0.0,C1787507193,0.0,0.0,1
491,CASH_OUT,1122827.94,C1274959638,1122827.94,0.0,C870195127,257056.52,1379884.46,1
488,TRANSFER,27696.89,C928616706,27696.89,0.0,C911339546,0.0,0.0,1
612,TRANSFER,1023189.9,C1686587981,1023189.9,0.0,C833710849,0.0,0.0,1
176,CASH_OUT,106642.43,C971898032,106642.43,0.0,C1932810385,4622.5,111264.92,1
93,TRANSFER,269545.63,C1904367873,269545.63,0.0,C156002993,0.0,0.0,1
687,CASH_OUT,458845.55,C2065762826,458845.55,0.0,C549201409,388945.59,847791.14,1
498,CASH_OUT,9593838.63,C1463520187,9593838.63,0.0,C1508969508,0.0,9593838.63,1
702,CASH_OUT,10000000.0,C1666917384,10000000.0,0.0,C779798347,3485891.28,13485891.28,1
146,TRANSFER,60516.53,C204723850,60516.53,0.0,C776823334,0.0,0.0,1
216,TRANSFER,1697655.62,C1402144865,1697655.62,0.0,C1102195380,0.0,0.0,1
605,CASH_OUT,222213.27,C1034326935,222213.27,0.0,C1280260787,93400.12,315613.39,1
47,CASH_OUT,61487.67,C2064498880,61487.67,0.0,C1457751793,0.0,61487.67,1
361,TRANSFER,1082308.05,C39420818,1082308.05,0.0,C105774839,0.0,0.0,1
617,CASH_OUT,1013208.77,C1132246468,1013208.77,0.0,C2130748212,0.0,1013208.77,1
422,TRANSFER,298365.86,C331578052,298365.86,0.0,C18819667,0.0,0.0,1
137,TRANSFER,1265379.37,C272782184,1265379.37,0.0,C804016361,0.0,0.0,1
391,CASH_OUT,235763.38,C848033794,235763.38,0.0,C555566850,11417.85,247181.23,1
273,TRANSFER,4574246.75,C1947336797,4574246.75,0.0,C418157803,0.0,0.0,1
636,CASH_OUT,729078.34,C1723552410,729078.34,0.0,C1531239198,44848.47,773926.81,1
178,TRANSFER,763913.96,C604295926,763913.96,0.0,C1097845207,0.0,0.0,1
7,TRANSFER,21729.0,C1686905633,21729.0,0.0,C824421402,0.0,0.0,1
304,TRANSFER,46661.03,C379326181,46661.03,0.0,C585824951,0.0,0.0,1
366,TRANSFER,2701644.17,C1273953731,2701644.17,0.0,C1701713893,0.0,0.0,1
672,CASH_OUT,21332.46,C770584215,21332.46,0.0,C1804557004,0.0,21332.46,1
166,CASH_OUT,1803411.53,C1537775807,1803411.53,0.0,C1897800945,475748.31,2279159.85,1
638,CASH_OUT,249017.98,C1688050315,249017.98,0.0,C406482973,192109.7,441127.69,1
386,CASH_OUT,442290.23,C619581802,442290.23,0.0,C2040999493,0.0,442290.23,1
409,TRANSFER,175972.28,C729569848,175972.28,0.0,C684459901,0.0,0.0,1
149,CASH_OUT,17569.42,C711027580,17569.42,0.0,C1812011934,276439.92,294009.34,1
272,CASH_OUT,5141769.94,C404738794,5141769.94,0.0,C1742374536,0.0,5141769.94,1
542,CASH_OUT,736521.51,C2022182585,736521.51,0.0,C618622080,77874.55,814396.06,1
227,CASH_OUT,1162155.11,C2135061184,1162155.11,0.0,C576020247,2402312.87,3564467.98,1
180,CASH_OUT,5363594.86,C686087807,5363594.86,0.0,C1701906322,134472.24,5498067.11,1
212,CASH_OUT,362631.05,C1776783873,362631.05,0.0,C1114102107,31491.56,394122.61,1
146,CASH_OUT,322329.78,C2110396645,322329.78,0.0,C842496101,115917.67,438247.45,1
636,CASH_OUT,1455839.54,C487085645,1455839.54,0.0,C576388440,149698.53,1605538.07,1
495,CASH_OUT,255286.59,C1873655308,255286.59,0.0,C445308859,0.0,255286.59,1
387,TRANSFER,143501.7,C1638922233,143501.7,0.0,C1462968969,0.0,0.0,1
469,TRANSFER,6484526.8,C2041942844,6484526.8,0.0,C1100722756,0.0,0.0,1
522,TRANSFER,59250.11,C1845085414,59250.11,0.0,C1517088370,0.0,0.0,1
420,TRANSFER,116489.77,C1178847797,116489.77,0.0,C63537571,0.0,0.0,1
328,TRANSFER,2299330.46,C376938867,2299330.46,0.0,C1217738819,0.0,0.0,1
461,CASH_OUT,1028284.82,C2004363483,1028284.82,0.0,C165602524,0.0,1028284.82,1
6,CASH_OUT,10565.0,C1191732945,10565.0,0.0,C418964192,36275.0,24380.72,1
572,TRANSFER,82504.16,C149758209,82504.16,0.0,C519616178,0.0,0.0,1
67,CASH_OUT,1028326.5,C1062379106,1028326.5,0.0,C1316357800,0.0,1028326.5,1
664,TRANSFER,397069.12,C767878011,397069.12,0.0,C205844537,0.0,0.0,1
65,TRANSFER,1282971.57,C1175896731,1282971.57,0.0,C1714931087,0.0,0.0,1
591,TRANSFER,1777758.65,C432403364,1777758.65,0.0,C1905990879,0.0,0.0,1
687,CASH_OUT,3009125.59,C1336183748,3009125.59,0.0,C1701261765,46901.34,3056026.93,1
380,CASH_OUT,49076.27,C282770927,49076.27,0.0,C1266647096,863127.8,912204.07,1
302,CASH_OUT,1011249.64,C159267828,1011249.64,0.0,C640332215,56305.88,1067555.52,1
643,CASH_OUT,4222595.06,C4856718,4222595.06,0.0,C488060391,0.0,4222595.06,1
702,CASH_OUT,240746.27,C863413785,240746.27,0.0,C1064040919,1399139.68,1639885.95,1
318,CASH_OUT,247455.25,C832863308,247455.25,0.0,C672244107,2691845.54,2939300.79,1
552,TRANSFER,22824.08,C359830573,22824.08,0.0,C1906309397,0.0,0.0,1
222,CASH_OUT,1388774.78,C1239064572,1388774.78,0.0,C634051834,411942.91,1800717.69,1
444,TRANSFER,10000000.0,C838062695,13752520.6,3752520.6,C1614528665,0.0,0.0,1
262,TRANSFER,639680.32,C1449539752,639680.32,0.0,C1011349802,0.0,0.0,1
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1
730,CASH_OUT,2154005.71,C1514500854,2154005.71,0.0,C1368085881,0.0,2154005.71,1
652,TRANSFER,2054631.55,C534774470,2054631.55,0.0,C304432488,0.0,0.0,1
505,CASH_OUT,4553004.39,C485487495,4553004.39,0.0,C49397017,26260.25,4579264.63,1
718,CASH_OUT,1293595.52,C1545616572,1293595.52,0.0,C1503189539,0.0,1293595.52,1
232,TRANSFER,570135.07,C1797062826,570135.07,0.0,C1005190137,0.0,0.0,1
653,TRANSFER,119.65,C1497766467,119.65,0.0,C543477940,0.0,0.0,1
636,TRANSFER,89657.36,C136634417,89657.36,0.0,C209740901,0.0,0.0,1
189,CASH_OUT,358529.2,C831067844,358529.2,0.0,C1442540355,0.0,358529.2,1
230,TRANSFER,1112204.51,C444571961,1112204.51,0.0,C1409527805,0.0,0.0,1
55,TRANSFER,167715.53,C5594712,167715.53,0.0,C69798076,0.0,0.0,1
486,CASH_OUT,214793.32,C852832309,214793.32,0.0,C781959592,0.0,214793.32,1
323,CASH_OUT,334790.89,C292943018,334790.89,0.0,C850515807,307317.47,642108.36,1
263,TRANSFER,61856.83,C674575230,61856.83,0.0,C515016195,0.0,0.0,1
541,TRANSFER,3297243.38,C411433616,3297243.38,0.0,C1948800216,0.0,0.0,1
656,TRANSFER,5349.74,C70903191,5349.74,0.0,C1341550882,0.0,0.0,1
543,CASH_OUT,74436.56,C1022475357,74436.56,0.0,C1086411656,201151.33,275587.89,1
375,TRANSFER,118462.93,C353172290,118462.93,0.0,C1521894181,0.0,0.0,1
58,CASH_OUT,1789155.73,C853148295,1789155.73,0.0,C439525493,2031388.61,3820544.34,1
307,CASH_OUT,1749325.14,C1029257629,1749325.14,0.0,C1200877577,1327198.86,3076524.0,1
491,CASH_OUT,449199.47,C1192213620,449199.47,0.0,C70209751,224957.93,674157.4,1
142,TRANSFER,78810.3,C168746534,78810.3,0.0,C717942686,0.0,0.0,1
98,TRANSFER,427405.08,C1353657671,427405.08,0.0,C956901713,0.0,0.0,1
619,CASH_OUT,945131.71,C1366832046,945131.71,0.0,C1275965910,0.0,945131.71,1
28,TRANSFER,3832058.34,C1279307827,3832058.34,0.0,C1124913173,0.0,0.0,1
279,TRANSFER,10000000.0,C898870268,10536624.41,536624.41,C1236804041,0.0,0.0,1
285,CASH_OUT,106654.67,C1032151084,106654.67,0.0,C297867369,46760.32,153414.99,1
292,CASH_OUT,38513.19,C1225154585,38513.19,0.0,C1049265108,90999.78,129512.97,1
456,CASH_OUT,30548.46,C1387708046,30548.46,0.0,C1963829295,804314.46,834862.92,1
642,CASH_OUT,450060.37,C898755281,450060.37,0.0,C562356670,100205.45,550265.82,1
367,CASH_OUT,240427.17,C1541669030,240427.17,0.0,C235660797,41255.61,281682.78,1
132,CASH_OUT,2479940.21,C225560210,2479940.21,0.0,C946491737,0.0,2479940.21,1
414,CASH_OUT,537641.8,C1904470036,537641.8,0.0,C115727901,55732.77,593374.56,1
475,TRANSFER,11424.36,C1596047986,11424.36,0.0,C1251374638,0.0,0.0,1
389,TRANSFER,1312947.27,C895840599,1312947.27,0.0,C180207582,0.0,0.0,1
349,CASH_OUT,98736.52,C1301301419,98736.52,0.0,C489315862,0.0,98736.52,1
436,CASH_OUT,59841.44,C1061422162,59841.44,0.0,C1799894308,0.0,59841.44,1
362,TRANSFER,60314.32,C1597827743,60314.32,0.0,C1103826731,0.0,0.0,1
467,TRANSFER,2108440.98,C581609779,2108440.98,0.0,C224105862,0.0,0.0,1
106,TRANSFER,110457.0,C823542906,110457.0,0.0,C846435560,0.0,0.0,1
729,TRANSFER,90026.9,C2144761776,90026.9,0.0,C514777944,0.0,0.0,1
621,CASH_OUT,425861.93,C2103073329,425861.93,0.0,C686334805,203280.85,629142.78,1
658,TRANSFER,120582.86,C1665536946,120582.86,0.0,C752144431,0.0,0.0,1
407,CASH_OUT,312955.14,C2134322170,312955.14,0.0,C2083154872,18559.06,331514.2,1
575,CASH_OUT,130479.52,C1275541215,130479.52,0.0,C1884505964,204819.94,335299.46,1
352,TRANSFER,166456.54,C2019110541,166456.54,0.0,C2098382104,0.0,0.0,1
430,CASH_OUT,221511.12,C406659405,221511.12,0.0,C200475488,201354.78,422865.9,1
127,TRANSFER,1848199.45,C37315617,1848199.45,0.0,C115063912,0.0,0.0,1
145,CASH_OUT,9467.62,C1782679306,9467.62,0.0,C1503937071,92573.18,102040.81,1
656,CASH_OUT,766257.55,C38948739,766257.55,0.0,C533828275,46141756.44,46908013.99,1
289,CASH_OUT,37974.85,C45718211,37974.85,0.0,C1371920863,939922.78,977897.62,1
387,TRANSFER,9110884.44,C1402670582,9110884.44,0.0,C1633747285,0.0,0.0,1
268,CASH_OUT,754874.26,C1233845935,754874.26,0.0,C899674207,0.0,754874.26,1
249,CASH_OUT,1306690.61,C112330244,1306690.61,0.0,C1382644592,108351.28,1415041.89,1
51,TRANSFER,202887.77,C155466948,202887.77,0.0,C1368205157,0.0,0.0,1
624,TRANSFER,10000000.0,C1874951604,12626957.79,2626957.79,C72573471,0.0,0.0,1
675,TRANSFER,10000000.0,C1291955358,12772043.9,2772043.9,C285979005,0.0,0.0,1
220,CASH_OUT,285376.6,C1221197048,285376.6,0.0,C171730324,2719914.68,3005291.27,1
152,CASH_OUT,2175288.9,C1157904432,2175288.9,0.0,C2053528255,92900.39,2268189.29,1
441,TRANSFER,739856.92,C2140627643,739856.92,0.0,C1356176375,0.0,0.0,1
56,CASH_OUT,136562.78,C170337029,136562.78,0.0,C2005239245,21100.34,157663.12,1
593,CASH_OUT,272776.59,C1054530162,272776.59,0.0,C1289473924,579980.59,852757.18,1
41,TRANSFER,581889.94,C518343264,581889.94,0.0,C596058183,0.0,0.0,1
129,CASH_OUT,139210.23,C1418109615,139210.23,0.0,C1960441382,389208.21,528418.44,1
610,CASH_OUT,493538.8,C49558128,493538.8,0.0,C1323987064,341590.52,835129.32,1
74,TRANSFER,2451423.58,C554032564,2451423.58,0.0,C1773822709,0.0,0.0,1
59,CASH_OUT,394388.09,C1802030448,394388.09,0.0,C707965723,1260564.49,1654952.58,1
708,CASH_OUT,1735525.5,C1181245591,1735525.5,0.0,C1457459211,0.0,1735525.5,1
381,CASH_OUT,102256.57,C107359610,102256.57,0.0,C993674032,0.0,102256.57,1
319,CASH_OUT,4895343.33,C2003694835,4895343.33,0.0,C1708120011,286035.4,5181378.73,1
9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1
358,CASH_OUT,361877.28,C930621718,361877.28,0.0,C392213931,380179.71,742056.99,1
510,TRANSFER,177137.79,C1539613036,177137.79,0.0,C1789883459,0.0,0.0,1
680,TRANSFER,1685692.11,C1039970092,1685692.11,0.0,C476797859,0.0,0.0,1
714,TRANSFER,1262207.3,C1143281085,1262207.3,0.0,C391244346,0.0,0.0,1
10,TRANSFER,9217.19,C184586799,9217.19,0.0,C812377986,0.0,96795.6,1
103,CASH_OUT,137508.01,C631857626,137508.01,0.0,C1700121209,0.0,137508.01,1
537,CASH_OUT,254773.22,C127960549,254773.22,0.0,C1692377188,672304.86,927078.09,1
570,CASH_OUT,1021194.38,C1020706862,1021194.38,0.0,C197568140,0.0,1021194.38,1
254,TRANSFER,10789.0,C305749305,10789.0,0.0,C1981629622,0.0,0.0,1
396,TRANSFER,233699.25,C349513899,233699.25,0.0,C499085248,0.0,0.0,1
429,TRANSFER,315712.36,C23801397,315712.36,0.0,C1324604423,0.0,0.0,1
66,TRANSFER,813133.35,C718215446,813133.35,0.0,C1200993280,0.0,0.0,1
610,TRANSFER,33964.87,C915330664,33964.87,0.0,C1672862058,0.0,0.0,1
269,TRANSFER,676882.33,C1627918307,676882.33,0.0,C1636966593,0.0,0.0,1
716,CASH_OUT,6426126.34,C596249960,6426126.34,0.0,C1418025588,0.0,6426126.34,1
68,CASH_OUT,281743.12,C47524114,281743.12,0.0,C645628840,158099.98,439843.09,1
337,CASH_OUT,658637.38,C1494570595,658637.38,0.0,C975876326,0.0,658637.38,1
723,TRANSFER,2232257.71,C546364616,2232257.71,0.0,C877246848,0.0,0.0,1
567,TRANSFER,175203.45,C905679615,175203.45,0.0,C572787442,0.0,0.0,1
609,CASH_OUT,564263.94,C1090265610,564263.94,0.0,C717934404,1087753.58,1652017.52,1
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1
151,CASH_OUT,443893.69,C371450806,443893.69,0.0,C475066287,3118325.8,3562219.49,1
98,CASH_OUT,427405.08,C1106916781,427405.08,0.0,C583506611,0.0,427405.08,1
501,TRANSFER,73328.47,C2118127422,73328.47,0.0,C1915328569,0.0,0.0,1
411,TRANSFER,1464008.18,C576017861,1464008.18,0.0,C2007796943,0.0,0.0,1
218,CASH_OUT,145379.14,C1005866728,145379.14,0.0,C677701060,2214587.74,2359966.88,1
569,CASH_OUT,22117.99,C1522253641,22117.99,0.0,C104739224,581228.15,603346.15,1
660,TRANSFER,6749.18,C1815959102,6749.18,0.0,C2020586953,0.0,0.0,1
584,CASH_OUT,597806.2,C743026974,597806.2,0.0,C1575584182,0.0,597806.2,1
606,TRANSFER,228803.98,C98844007,228803.98,0.0,C1849389849,0.0,0.0,1
71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1
295,TRANSFER,162756.9,C1722305169,162756.9,0.0,C782178061,0.0,0.0,1
104,TRANSFER,86170.94,C111341928,86170.94,0.0,C192831287,0.0,0.0,1
244,CASH_OUT,53338.82,C671943963,53338.82,0.0,C1516151145,982332.85,1035671.67,1
41,CASH_OUT,1783144.33,C229433868,1783144.33,0.0,C978822470,1793786.8,3576931.13,1
12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1
523,CASH_OUT,951451.17,C1441123126,951451.17,0.0,C667076483,1430666.86,2382118.03,1
461,TRANSFER,125153.57,C1460980455,125153.57,0.0,C698942634,0.0,0.0,1
557,TRANSFER,839077.79,C593031414,839077.79,0.0,C556669926,0.0,0.0,1
680,TRANSFER,10000000.0,C1396564541,12254417.02,2254417.02,C129828249,0.0,0.0,1
606,CASH_OUT,455788.55,C1120752458,455788.55,0.0,C2045354629,0.0,455788.55,1
596,TRANSFER,381247.3,C569564677,381247.3,0.0,C1231868978,0.0,0.0,1
4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1
577,CASH_OUT,681525.62,C343064779,681525.62,0.0,C851594091,2250319.57,2931845.19,1
501,CASH_OUT,472808.24,C524534489,472808.24,0.0,C1625163928,0.0,472808.24,1
68,TRANSFER,374178.28,C486342629,374178.28,0.0,C249139572,0.0,0.0,1
31,CASH_OUT,120406.39,C1938001564,120406.39,0.0,C878440089,0.0,120406.39,1
420,CASH_OUT,500905.62,C1226580672,500905.62,0.0,C677468296,4867381.69,5368287.32,1
209,CASH_OUT,329156.43,C665359708,329156.43,0.0,C1324874027,0.0,329156.43,1
431,TRANSFER,526071.46,C1724071075,526071.46,0.0,C270502342,0.0,0.0,1
570,CASH_OUT,1131750.38,C1396198422,1131750.38,0.0,C1612235515,313070.53,1444820.92,1
185,TRANSFER,194180.11,C953989507,194180.11,0.0,C2123949636,0.0,0.0,1
222,CASH_OUT,211628.75,C1710697792,211628.75,0.0,C408442101,23970.72,235599.46,1
433,CASH_OUT,673722.73,C330958414,673722.73,0.0,C1015835310,0.0,673722.73,1
113,CASH_OUT,37119.58,C39621039,37119.58,0.0,C1336335026,0.0,37119.58,1
572,TRANSFER,340665.18,C2031273483,340665.18,0.0,C747315948,0.0,0.0,1
629,TRANSFER,2433009.28,C43243271,2433009.28,0.0,C1042226944,0.0,0.0,1
411,TRANSFER,1240717.75,C2142112051,1240717.75,0.0,C853827129,0.0,0.0,1
25,TRANSFER,44829.81,C589374615,44829.81,0.0,C1612426642,0.0,0.0,1
690,CASH_OUT,3574316.05,C438537495,3574316.05,0.0,C2102646541,260882.71,3835198.77,1
450,CASH_OUT,10000000.0,C1552522980,10000000.0,0.0,C2104816494,415882.73,10415882.73,1
184,CASH_OUT,90346.05,C1977671601,90346.05,0.0,C1902927985,532789.09,623135.14,1
88,TRANSFER,4022408.76,C743505070,4022408.76,0.0,C1234529860,0.0,0.0,1
449,CASH_OUT,166880.54,C1410981762,166880.54,0.0,C1352381069,0.0,166880.54,1
81,TRANSFER,78028.89,C1141684760,78028.89,0.0,C1203351352,0.0,0.0,1
270,CASH_OUT,14992.14,C243815682,14992.14,0.0,C1575356440,23867.57,38859.72,1
671,TRANSFER,36956.27,C958794947,36956.27,0.0,C1433224655,0.0,0.0,1
302,CASH_OUT,43235.71,C1465935638,43235.71,0.0,C1136959113,54838.13,98073.84,1
528,CASH_OUT,311234.46,C1795452410,311234.46,0.0,C1484612212,978976.44,1290210.9,1
566,CASH_OUT,2202575.1,C863963078,2202575.1,0.0,C679578786,1006442.23,3209017.33,1
12,CASH_OUT,2066467.64,C684252268,2066467.64,0.0,C2027569559,194510.24,3098566.67,1
481,TRANSFER,832811.84,C1215783470,832811.84,0.0,C1131260473,0.0,0.0,1
273,CASH_OUT,159106.12,C136426142,159106.12,0.0,C323730843,0.0,159106.12,1
123,CASH_OUT,629958.0,C1778361668,629958.0,0.0,C675358222,403252.79,1033210.79,1
145,CASH_OUT,1539687.27,C1540456326,1539687.27,0.0,C1572482192,256502.86,1796190.14,1
13,TRANSFER,1161495.82,C1864459372,1161495.82,0.0,C537531657,0.0,0.0,1
537,TRANSFER,81278.73,C656541323,81278.73,0.0,C1611688554,0.0,0.0,1
226,TRANSFER,82869.09,C712970415,82869.09,0.0,C590051909,0.0,0.0,1
436,TRANSFER,842554.02,C2022831297,842554.02,0.0,C676778137,0.0,0.0,1
243,TRANSFER,793886.87,C57496674,793886.87,0.0,C317811789,0.0,0.0,1
211,CASH_OUT,405062.33,C418222166,405062.33,0.0,C690195469,1844185.94,2249248.27,1
198,CASH_OUT,18471.55,C680864117,18471.55,0.0,C2041586842,0.0,18471.55,1
738,CASH_OUT,106584.32,C2085819511,106584.32,0.0,C2000713595,5524872.71,5631457.03,1
66,CASH_OUT,107188.41,C2059976574,107188.41,0.0,C1021456304,696135.43,803323.83,1
717,CASH_OUT,751854.42,C1391223821,751854.42,0.0,C450487671,11716.66,763571.08,1
75,TRANSFER,810039.19,C756454870,810039.19,0.0,C1095120189,0.0,0.0,1
299,CASH_OUT,1158358.08,C740548252,1158358.08,0.0,C1317682776,0.0,1158358.08,1
503,CASH_OUT,56290.17,C1206601325,56290.17,0.0,C1160408555,10484036.58,10540326.75,1
210,CASH_OUT,23610.85,C1790329459,23610.85,0.0,C409233491,212041.22,235652.07,1
182,CASH_OUT,294989.71,C1095002086,294989.71,0.0,C360215463,1657699.83,1952689.54,1
247,CASH_OUT,76646.05,C1873858924,76646.05,0.0,C587506100,0.0,76646.05,1
273,TRANSFER,296212.67,C933352682,296212.67,0.0,C796842245,0.0,0.0,1
66,CASH_OUT,2096634.43,C65342125,2096634.43,0.0,C282355647,183429.98,2280064.41,1
321,CASH_OUT,59628.24,C1826008632,59628.24,0.0,C1992468113,686111.28,745739.53,1
675,TRANSFER,2772043.9,C48717380,2772043.9,0.0,C230089691,0.0,0.0,1
440,CASH_OUT,10000000.0,C1507276112,10000000.0,0.0,C1441560807,633838.8,10633838.8,1
219,TRANSFER,248242.32,C1026095459,248242.32,0.0,C1060066770,0.0,0.0,1
728,CASH_OUT,6322399.97,C1305559146,6322399.97,0.0,C2086292862,0.0,6322399.97,1
53,CASH_OUT,6215.44,C1351929617,6215.44,0.0,C842672981,191197.42,197412.85,1
641,TRANSFER,2666139.51,C18505575,2666139.51,0.0,C140141487,0.0,0.0,1
342,CASH_OUT,22402.21,C1793833133,22402.21,0.0,C1824897036,192795.07,215197.27,1
250,CASH_OUT,177217.55,C605707294,177217.55,0.0,C869819387,1086981.95,1264199.5,1
421,CASH_OUT,19729.68,C1979477621,19729.68,0.0,C1623524019,0.0,19729.68,1
58,TRANSFER,3156421.43,C1609180237,3156421.43,0.0,C1443408255,0.0,0.0,1
84,CASH_OUT,8380.79,C342648059,8380.79,0.0,C825022387,0.0,8380.79,1
66,TRANSFER,3444943.59,C1900819473,3444943.59,0.0,C526266879,0.0,0.0,1
437,CASH_OUT,119041.12,C1186588727,119041.12,0.0,C1803677930,1755159.6,1874200.73,1
282,TRANSFER,140523.4,C730675323,140523.4,0.0,C160013718,0.0,0.0,1
339,CASH_OUT,373531.87,C1957456794,373531.87,0.0,C895220334,77985.49,451517.36,1
58,CASH_OUT,246938.77,C1249676524,246938.77,0.0,C1822682019,0.0,246938.77,1
382,TRANSFER,1595587.46,C1069976593,1595587.46,0.0,C1835585013,0.0,0.0,1
410,TRANSFER,281439.26,C608125181,281439.26,0.0,C1857424764,0.0,0.0,1
247,TRANSFER,802421.39,C1768918738,802421.39,0.0,C1846753958,0.0,0.0,1
396,CASH_OUT,233699.25,C1080613423,233699.25,0.0,C531586904,0.0,233699.25,1
148,CASH_OUT,3733104.07,C379244982,3733104.07,0.0,C1160379813,452523.69,4185627.77,1
81,CASH_OUT,78028.89,C524658055,78028.89,0.0,C200964845,473519.42,551548.31,1
315,TRANSFER,4713935.64,C1800396600,4713935.64,0.0,C68101846,0.0,0.0,1
151,TRANSFER,1633227.0,C2053411637,1633227.0,0.0,C337996170,0.0,0.0,1
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1
191,TRANSFER,132294.93,C1222456458,132294.93,0.0,C194390242,0.0,0.0,1
306,CASH_OUT,850530.59,C657363011,850530.59,0.0,C936698630,177074.44,1027605.03,1
505,TRANSFER,2979972.78,C1904352957,2979972.78,0.0,C436096516,0.0,0.0,1
46,CASH_OUT,71372.0,C313736303,71372.0,0.0,C935310781,613464.04,684836.04,1
453,CASH_OUT,134725.66,C922243256,134725.66,0.0,C1604176054,0.0,134725.66,1
506,TRANSFER,7041719.54,C295695808,7041719.54,0.0,C1634584019,0.0,0.0,1
714,TRANSFER,390763.24,C1160185399,390763.24,0.0,C1622291038,0.0,0.0,1
265,TRANSFER,881187.51,C985192953,881187.51,0.0,C291644544,0.0,0.0,1
